"","GEOID","B01003_001"
"1","17001000100",4509
"2","17001000201",1968
"3","17001000202",2473
"4","17001000400",3428
"5","17001000500",1985
"6","17001000600",4390
"7","17001000700",1136
"8","17001000800",2608
"9","17001000900",2612
"10","17001001001",3217
"11","17001001002",2851
"12","17001001100",8026
"13","17001010100",4507
"14","17001010200",3768
"15","17001010301",2846
"16","17001010302",3057
"17","17001010400",3435
"18","17001010500",3090
"19","17001010600",5677
"20","17003957600",1664
"21","17003957700",1717
"22","17003957800",1198
"23","17003957900",682
"24","17005951200",2873
"25","17005951300",6931
"26","17005951400",2886
"27","17005951500",4060
"28","17007010101",4487
"29","17007010102",4095
"30","17007010200",5664
"31","17007010300",6577
"32","17007010400",7019
"33","17007010501",4988
"34","17007010502",4998
"35","17007010601",3637
"36","17007010603",6540
"37","17007010604",5454
"38","17009970400",2280
"39","17009970500",4054
"40","17011964700",2803
"41","17011964800",2988
"42","17011964900",2758
"43","17011965000",3846
"44","17011965100",4101
"45","17011965200",3592
"46","17011965300",3256
"47","17011965400",3433
"48","17011965500",3588
"49","17011965600",2838
"50","17013951200",2216
"51","17013951300",2256
"52","17015960100",3463
"53","17015960200",2131
"54","17015960300",3092
"55","17015960400",1978
"56","17015960500",2492
"57","17015960600",2438
"58","17017960100",2101
"59","17017960200",2623
"60","17017960300",2632
"61","17017960400",2877
"62","17017960500",2722
"63","17019000200",2210
"64","17019000301",6003
"65","17019000302",2539
"66","17019000401",4554
"67","17019000402",3377
"68","17019000500",3682
"69","17019000700",3732
"70","17019000800",6735
"71","17019000901",4781
"72","17019000902",7473
"73","17019001000",4423
"74","17019001100",3741
"75","17019001201",7305
"76","17019001203",4252
"77","17019001204",3704
"78","17019001205",8362
"79","17019001206",1837
"80","17019001301",5831
"81","17019001302",4367
"82","17019001400",6873
"83","17019005300",4585
"84","17019005401",4165
"85","17019005402",3821
"86","17019005500",4682
"87","17019005601",5631
"88","17019005602",2294
"89","17019005701",5105
"90","17019005702",1641
"91","17019005800",4047
"92","17019005901",2463
"93","17019005902",2686
"94","17019006000",3029
"95","17019010100",4171
"96","17019010204",4663
"97","17019010300",3813
"98","17019010400",4360
"99","17019010500",4474
"100","17019010601",6274
"101","17019010603",7532
"102","17019010604",2672
"103","17019010701",3969
"104","17019010702",3981
"105","17019010800",4165
"106","17019010901",6370
"107","17019010902",3800
"108","17019011001",2070
"109","17019011002",2175
"110","17019011100",2106
"111","17021958100",2763
"112","17021958200",3238
"113","17021958300",3895
"114","17021958400",3933
"115","17021958500",2272
"116","17021958600",2245
"117","17021958700",5493
"118","17021958800",2420
"119","17021958900",2528
"120","17021959000",5106
"121","17023060100",4411
"122","17023060200",4210
"123","17023060300",5074
"124","17023060400",1772
"125","17025971900",2353
"126","17025972000",2862
"127","17025972100",4961
"128","17025972200",3072
"129","17027900100",6484
"130","17027900200",1826
"131","17027900300",7031
"132","17027900401",1137
"133","17027900403",3958
"134","17027900404",1190
"135","17027900500",5758
"136","17027900601",2767
"137","17027900602",6847
"138","17029000100",2567
"139","17029000200",5505
"140","17029000300",4454
"141","17029000400",2638
"142","17029000500",5649
"143","17029000600",2984
"144","17029000701",2429
"145","17029000702",3257
"146","17029000800",3591
"147","17029000900",3959
"148","17029001000",3297
"149","17029001100",3688
"150","17029001200",3058
"151","17031010100",4284
"152","17031010201",8210
"153","17031010202",2865
"154","17031010300",6237
"155","17031010400",4473
"156","17031010501",3913
"157","17031010502",3407
"158","17031010503",2417
"159","17031010600",6379
"160","17031010701",3590
"161","17031010702",5148
"162","17031020100",3927
"163","17031020200",7203
"164","17031020301",5432
"165","17031020302",5201
"166","17031020400",4256
"167","17031020500",6646
"168","17031020601",5868
"169","17031020602",5343
"170","17031020701",1728
"171","17031020702",8412
"172","17031020801",5990
"173","17031020802",8715
"174","17031020901",6179
"175","17031020902",4365
"176","17031030101",3517
"177","17031030102",3052
"178","17031030103",2297
"179","17031030104",3106
"180","17031030200",5554
"181","17031030300",3642
"182","17031030400",2822
"183","17031030500",6344
"184","17031030601",3771
"185","17031030603",2305
"186","17031030604",2921
"187","17031030701",1509
"188","17031030702",2266
"189","17031030703",3093
"190","17031030706",2588
"191","17031030800",4236
"192","17031030900",3076
"193","17031031000",3652
"194","17031031100",4898
"195","17031031200",5936
"196","17031031300",6853
"197","17031031400",4685
"198","17031031501",4640
"199","17031031502",4622
"200","17031031700",6119
"201","17031031800",2114
"202","17031031900",2417
"203","17031032100",7279
"204","17031040100",4011
"205","17031040201",6688
"206","17031040202",7965
"207","17031040300",3063
"208","17031040401",3431
"209","17031040402",4581
"210","17031040600",2785
"211","17031040700",3749
"212","17031040800",1577
"213","17031040900",2006
"214","17031050100",2513
"215","17031050200",5546
"216","17031050300",2829
"217","17031050500",5199
"218","17031050600",2232
"219","17031050700",1456
"220","17031050800",1398
"221","17031050900",1388
"222","17031051000",1707
"223","17031051100",1905
"224","17031051200",1576
"225","17031051300",3077
"226","17031051400",2535
"227","17031060100",3178
"228","17031060200",2147
"229","17031060300",2821
"230","17031060400",3691
"231","17031060500",1287
"232","17031060800",5319
"233","17031060900",6943
"234","17031061000",2324
"235","17031061100",1436
"236","17031061200",2052
"237","17031061500",2023
"238","17031061800",1204
"239","17031061901",3517
"240","17031061902",4938
"241","17031062000",2890
"242","17031062100",3646
"243","17031062200",3152
"244","17031062300",1609
"245","17031062400",1799
"246","17031062500",1420
"247","17031062600",2371
"248","17031062700",3046
"249","17031062800",3682
"250","17031062900",4138
"251","17031063000",3280
"252","17031063100",2352
"253","17031063200",6380
"254","17031063301",2992
"255","17031063302",4102
"256","17031063303",1198
"257","17031063400",2435
"258","17031070101",4583
"259","17031070102",2980
"260","17031070103",1439
"261","17031070200",4019
"262","17031070300",3818
"263","17031070400",3421
"264","17031070500",3185
"265","17031070600",3194
"266","17031070700",3741
"267","17031071000",4525
"268","17031071100",3186
"269","17031071200",2386
"270","17031071300",4129
"271","17031071400",4763
"272","17031071500",5991
"273","17031071600",1903
"274","17031071700",1485
"275","17031071800",2726
"276","17031080100",6607
"277","17031080201",3236
"278","17031080202",3800
"279","17031080300",5836
"280","17031080400",4888
"281","17031081000",8150
"282","17031081100",4455
"283","17031081201",4428
"284","17031081202",3437
"285","17031081300",6014
"286","17031081401",2171
"287","17031081402",5942
"288","17031081403",8987
"289","17031081500",4906
"290","17031081600",3725
"291","17031081700",5217
"292","17031081800",12213
"293","17031081900",1111
"294","17031090100",3526
"295","17031090200",6505
"296","17031090300",1371
"297","17031100100",5890
"298","17031100200",7564
"299","17031100300",6447
"300","17031100400",3325
"301","17031100500",5814
"302","17031100600",4914
"303","17031100700",5372
"304","17031110100",5776
"305","17031110200",2821
"306","17031110300",5304
"307","17031110400",4501
"308","17031110501",5097
"309","17031110502",3533
"310","17031120100",4400
"311","17031120200",4573
"312","17031120300",7046
"313","17031120400",3836
"314","17031130100",4895
"315","17031130200",1545
"316","17031130300",5040
"317","17031140100",3520
"318","17031140200",6603
"319","17031140301",2908
"320","17031140302",3311
"321","17031140400",5911
"322","17031140500",3171
"323","17031140601",2762
"324","17031140602",4703
"325","17031140701",2990
"326","17031140702",5572
"327","17031140800",6212
"328","17031150200",7263
"329","17031150300",7272
"330","17031150401",5146
"331","17031150402",3945
"332","17031150501",3854
"333","17031150502",3953
"334","17031150600",4223
"335","17031150700",4453
"336","17031150800",4668
"337","17031151001",2816
"338","17031151002",4892
"339","17031151100",5447
"340","17031151200",4057
"341","17031160100",2757
"342","17031160200",3356
"343","17031160300",3685
"344","17031160400",5171
"345","17031160501",3270
"346","17031160502",4012
"347","17031160601",3003
"348","17031160602",3757
"349","17031160700",6265
"350","17031160800",5236
"351","17031160900",2420
"352","17031161000",1986
"353","17031161100",2024
"354","17031161200",2873
"355","17031161300",3769
"356","17031170100",2030
"357","17031170200",3752
"358","17031170300",4981
"359","17031170400",3989
"360","17031170500",5161
"361","17031170600",2490
"362","17031170700",3260
"363","17031170800",4009
"364","17031170900",1970
"365","17031171000",6829
"366","17031171100",4103
"367","17031180100",6544
"368","17031190100",2338
"369","17031190200",5858
"370","17031190300",5289
"371","17031190401",4119
"372","17031190402",4896
"373","17031190601",3986
"374","17031190602",5554
"375","17031190701",2835
"376","17031190702",4707
"377","17031190800",6049
"378","17031190900",1869
"379","17031191000",2556
"380","17031191100",6651
"381","17031191200",3775
"382","17031191301",5211
"383","17031191302",4439
"384","17031200100",3666
"385","17031200200",4435
"386","17031200300",1866
"387","17031200401",3408
"388","17031200402",5072
"389","17031210100",4194
"390","17031210400",2491
"391","17031210501",2866
"392","17031210502",4412
"393","17031210601",2818
"394","17031210602",4362
"395","17031210700",3724
"396","17031210800",1142
"397","17031210900",3174
"398","17031220300",1998
"399","17031220400",2670
"400","17031220500",2810
"401","17031220601",1538
"402","17031220602",4316
"403","17031220701",3077
"404","17031220702",3959
"405","17031220901",3090
"406","17031220902",3194
"407","17031221000",2571
"408","17031221100",4542
"409","17031221200",2865
"410","17031221300",3011
"411","17031221400",3083
"412","17031221500",2767
"413","17031221600",3389
"414","17031222200",2243
"415","17031222500",1468
"416","17031222600",1608
"417","17031222700",2202
"418","17031222800",1052
"419","17031222900",986
"420","17031230100",1636
"421","17031230200",1977
"422","17031230300",905
"423","17031230400",2116
"424","17031230500",3080
"425","17031230600",8977
"426","17031230700",5773
"427","17031230800",1029
"428","17031230900",4903
"429","17031231100",1362
"430","17031231200",5957
"431","17031231500",5809
"432","17031240200",1966
"433","17031240300",1272
"434","17031240500",2515
"435","17031240600",1639
"436","17031240700",1634
"437","17031240800",1480
"438","17031240900",1093
"439","17031241000",1792
"440","17031241100",3650
"441","17031241200",1698
"442","17031241300",1888
"443","17031241400",5584
"444","17031241500",2823
"445","17031241600",3397
"446","17031242000",4378
"447","17031242100",3817
"448","17031242200",4014
"449","17031242300",3805
"450","17031242400",2705
"451","17031242500",3255
"452","17031242600",5512
"453","17031242700",1837
"454","17031242800",1450
"455","17031242900",2032
"456","17031243000",2223
"457","17031243100",2159
"458","17031243200",2329
"459","17031243300",2285
"460","17031243400",2931
"461","17031243500",4567
"462","17031250200",3051
"463","17031250300",4844
"464","17031250400",5513
"465","17031250500",6903
"466","17031250600",4542
"467","17031250700",6466
"468","17031250800",2693
"469","17031251000",1380
"470","17031251100",4544
"471","17031251200",3840
"472","17031251300",4915
"473","17031251400",3712
"474","17031251500",4324
"475","17031251600",4456
"476","17031251700",1291
"477","17031251800",5399
"478","17031251900",5086
"479","17031252000",6308
"480","17031252101",1492
"481","17031252102",7020
"482","17031252201",3258
"483","17031252202",4945
"484","17031260100",1016
"485","17031260200",1232
"486","17031260300",1878
"487","17031260400",939
"488","17031260500",1767
"489","17031260600",2398
"490","17031260700",1524
"491","17031260800",2001
"492","17031260900",1351
"493","17031261000",2268
"494","17031270500",1380
"495","17031271200",1384
"496","17031271300",964
"497","17031271400",1359
"498","17031271500",1470
"499","17031271800",656
"500","17031280100",7730
"501","17031280400",1423
"502","17031280800",852
"503","17031280900",1122
"504","17031281900",6749
"505","17031282700",2243
"506","17031282800",1498
"507","17031283100",2729
"508","17031283200",1727
"509","17031283800",3504
"510","17031290900",4241
"511","17031291200",1312
"512","17031291600",1429
"513","17031292200",2540
"514","17031292400",1765
"515","17031292500",3461
"516","17031300500",3240
"517","17031300600",2844
"518","17031300700",4791
"519","17031300800",4192
"520","17031300900",3937
"521","17031301100",2409
"522","17031301200",5209
"523","17031301600",3247
"524","17031301701",4205
"525","17031301702",4086
"526","17031301801",4086
"527","17031301802",2623
"528","17031301803",3168
"529","17031310200",1824
"530","17031310300",1836
"531","17031310400",1456
"532","17031310500",1599
"533","17031310600",5542
"534","17031310700",1354
"535","17031310800",4633
"536","17031310900",4914
"537","17031320101",8705
"538","17031320102",5429
"539","17031320400",3004
"540","17031320600",6116
"541","17031330101",5011
"542","17031330102",9617
"543","17031330103",8471
"544","17031330200",3969
"545","17031340300",1698
"546","17031340400",1630
"547","17031340500",1558
"548","17031340600",1317
"549","17031350100",2439
"550","17031350400",1777
"551","17031351000",3526
"552","17031351100",2160
"553","17031351400",1569
"554","17031351500",946
"555","17031360200",1672
"556","17031380100",1928
"557","17031380200",1723
"558","17031380600",4025
"559","17031381200",1906
"560","17031381400",1615
"561","17031381500",670
"562","17031381700",0
"563","17031381800",1483
"564","17031381900",1348
"565","17031390100",1854
"566","17031390200",2178
"567","17031390300",2664
"568","17031390400",2289
"569","17031390500",1766
"570","17031390600",1824
"571","17031390700",6062
"572","17031400300",1361
"573","17031400400",2204
"574","17031400500",2634
"575","17031400800",2768
"576","17031410100",2251
"577","17031410200",1281
"578","17031410500",3405
"579","17031410600",2249
"580","17031410700",2541
"581","17031410800",2890
"582","17031410900",3527
"583","17031411000",3931
"584","17031411100",2388
"585","17031411200",1643
"586","17031420100",1629
"587","17031420200",1796
"588","17031420300",2495
"589","17031420400",1327
"590","17031420500",2040
"591","17031420600",2663
"592","17031420700",2274
"593","17031420800",2322
"594","17031421200",1986
"595","17031430101",3468
"596","17031430102",3542
"597","17031430200",5455
"598","17031430300",2611
"599","17031430400",2999
"600","17031430500",3882
"601","17031430600",2218
"602","17031430700",2256
"603","17031430800",2016
"604","17031430900",1681
"605","17031431200",2399
"606","17031431301",3555
"607","17031431302",3788
"608","17031431400",7565
"609","17031440101",3986
"610","17031440102",3320
"611","17031440201",6096
"612","17031440202",2763
"613","17031440300",4650
"614","17031440600",1612
"615","17031440700",1453
"616","17031440800",1877
"617","17031440900",2377
"618","17031450300",3461
"619","17031460100",2650
"620","17031460200",1880
"621","17031460301",3189
"622","17031460302",4212
"623","17031460400",3682
"624","17031460500",6284
"625","17031460800",4376
"626","17031461000",1346
"627","17031470100",2246
"628","17031480100",2161
"629","17031480200",1057
"630","17031480300",1131
"631","17031480400",5013
"632","17031480500",2725
"633","17031490200",2944
"634","17031490500",1775
"635","17031490600",1446
"636","17031490700",2459
"637","17031490800",3705
"638","17031490901",3084
"639","17031490902",4697
"640","17031491000",3417
"641","17031491100",4205
"642","17031491200",1932
"643","17031491300",2131
"644","17031491400",2541
"645","17031500100",3231
"646","17031500200",1831
"647","17031500300",1794
"648","17031510100",3639
"649","17031510200",3714
"650","17031510300",4640
"651","17031520100",2062
"652","17031520200",3652
"653","17031520300",5925
"654","17031520400",4393
"655","17031520500",5171
"656","17031520600",2739
"657","17031530100",1915
"658","17031530200",4358
"659","17031530300",3484
"660","17031530400",2356
"661","17031530501",5118
"662","17031530502",1464
"663","17031530503",4369
"664","17031530600",2385
"665","17031540101",4460
"666","17031540102",3357
"667","17031550100",6201
"668","17031550200",2824
"669","17031560100",1284
"670","17031560200",1372
"671","17031560300",3079
"672","17031560400",1744
"673","17031560700",3584
"674","17031560800",6003
"675","17031560900",5131
"676","17031561000",6040
"677","17031561100",5888
"678","17031570100",1421
"679","17031570200",2084
"680","17031570300",5951
"681","17031570400",1712
"682","17031570500",2699
"683","17031580100",2662
"684","17031580200",2988
"685","17031580300",2569
"686","17031580400",4672
"687","17031580501",4716
"688","17031580502",4932
"689","17031580600",5402
"690","17031580700",6137
"691","17031580800",2096
"692","17031590500",1672
"693","17031590600",3813
"694","17031590700",2914
"695","17031600400",3963
"696","17031600600",2953
"697","17031600700",2870
"698","17031600900",3733
"699","17031610300",5670
"700","17031610400",1888
"701","17031610800",1521
"702","17031611200",2072
"703","17031611300",3409
"704","17031611400",3587
"705","17031611500",3273
"706","17031611600",1995
"707","17031611700",1847
"708","17031611800",2186
"709","17031611900",1559
"710","17031612000",1317
"711","17031612100",1018
"712","17031612200",3687
"713","17031620100",4798
"714","17031620200",1948
"715","17031620300",7080
"716","17031620400",4540
"717","17031630300",4167
"718","17031630400",6003
"719","17031630500",5989
"720","17031630600",2746
"721","17031630800",6361
"722","17031630900",4856
"723","17031640100",1348
"724","17031640300",6897
"725","17031640400",3309
"726","17031640500",4132
"727","17031640600",4427
"728","17031640700",3110
"729","17031640800",1505
"730","17031650100",4622
"731","17031650200",7211
"732","17031650301",4863
"733","17031650302",4945
"734","17031650400",6794
"735","17031650500",4159
"736","17031660301",1761
"737","17031660302",4612
"738","17031660400",4719
"739","17031660500",4284
"740","17031660600",5849
"741","17031660700",1617
"742","17031660800",5832
"743","17031660900",5631
"744","17031661000",5424
"745","17031661100",7186
"746","17031670100",1472
"747","17031670200",724
"748","17031670300",1332
"749","17031670400",1616
"750","17031670500",1004
"751","17031670600",1174
"752","17031670700",1092
"753","17031670800",1022
"754","17031670900",1246
"755","17031671100",915
"756","17031671200",840
"757","17031671300",1657
"758","17031671400",1299
"759","17031671500",2308
"760","17031671600",1709
"761","17031671800",1128
"762","17031671900",1034
"763","17031672000",3295
"764","17031680500",1474
"765","17031680600",1178
"766","17031680900",3560
"767","17031681000",2297
"768","17031681100",1932
"769","17031681200",1883
"770","17031681300",2323
"771","17031681400",1879
"772","17031690300",2303
"773","17031690400",2908
"774","17031690500",742
"775","17031690900",3809
"776","17031691000",2655
"777","17031691100",2883
"778","17031691200",1984
"779","17031691300",2332
"780","17031691400",2701
"781","17031691500",1895
"782","17031700100",3874
"783","17031700200",6888
"784","17031700301",6124
"785","17031700302",6003
"786","17031700401",6218
"787","17031700402",3417
"788","17031700501",6565
"789","17031700502",3656
"790","17031710100",1026
"791","17031710200",4056
"792","17031710300",1382
"793","17031710400",5668
"794","17031710500",4087
"795","17031710600",1720
"796","17031710700",3412
"797","17031710800",4536
"798","17031710900",2151
"799","17031711000",3779
"800","17031711100",2808
"801","17031711200",4869
"802","17031711300",1618
"803","17031711400",2728
"804","17031711500",2628
"805","17031720100",3370
"806","17031720200",4097
"807","17031720300",3614
"808","17031720400",1872
"809","17031720500",1833
"810","17031720600",1860
"811","17031720700",3135
"812","17031730100",2669
"813","17031730201",5671
"814","17031730202",3093
"815","17031730300",1042
"816","17031730400",4070
"817","17031730500",4053
"818","17031730600",3570
"819","17031730700",2288
"820","17031740100",3075
"821","17031740200",6473
"822","17031740300",5043
"823","17031740400",4530
"824","17031750100",3636
"825","17031750200",3141
"826","17031750300",2546
"827","17031750400",2790
"828","17031750500",4761
"829","17031750600",3844
"830","17031760801",4718
"831","17031760802",2191
"832","17031760803",6862
"833","17031770201",6051
"834","17031770202",4557
"835","17031770300",7001
"836","17031770400",4440
"837","17031770500",4225
"838","17031770601",3694
"839","17031770602",4586
"840","17031770700",2290
"841","17031770800",5773
"842","17031770901",4796
"843","17031770902",3816
"844","17031800100",2367
"845","17031800200",6420
"846","17031800300",3303
"847","17031800400",3686
"848","17031800500",5576
"849","17031800600",2389
"850","17031800700",4850
"851","17031800800",2331
"852","17031800900",4341
"853","17031801000",5261
"854","17031801100",5045
"855","17031801200",3699
"856","17031801300",4448
"857","17031801400",3052
"858","17031801500",6367
"859","17031801601",4423
"860","17031801603",3781
"861","17031801605",5721
"862","17031801606",7456
"863","17031801607",5753
"864","17031801608",6308
"865","17031801701",3568
"866","17031801702",4911
"867","17031801800",6041
"868","17031801901",4362
"869","17031801902",3770
"870","17031802002",4990
"871","17031802003",2517
"872","17031802004",6006
"873","17031802100",3717
"874","17031802200",4937
"875","17031802300",5770
"876","17031802402",6076
"877","17031802403",1392
"878","17031802404",7492
"879","17031802503",7571
"880","17031802504",6844
"881","17031802505",6371
"882","17031802506",2517
"883","17031802605",7230
"884","17031802607",1217
"885","17031802608",6009
"886","17031802609",6414
"887","17031802610",1986
"888","17031802701",6326
"889","17031802702",5043
"890","17031802801",4689
"891","17031802802",6530
"892","17031802900",6085
"893","17031803005",2701
"894","17031803007",5201
"895","17031803008",4807
"896","17031803010",4686
"897","17031803012",2014
"898","17031803013",5724
"899","17031803014",3329
"900","17031803015",4498
"901","17031803016",2560
"902","17031803017",6125
"903","17031803100",3448
"904","17031803200",5024
"905","17031803300",5629
"906","17031803400",6745
"907","17031803500",5565
"908","17031803603",6538
"909","17031803604",4375
"910","17031803605",6694
"911","17031803607",4358
"912","17031803608",8110
"913","17031803611",6425
"914","17031803612",3470
"915","17031803613",3891
"916","17031803614",4145
"917","17031803615",2357
"918","17031803616",4789
"919","17031803701",2745
"920","17031803702",6154
"921","17031803800",4159
"922","17031803901",3702
"923","17031803902",3498
"924","17031804000",4672
"925","17031804102",6865
"926","17031804104",5176
"927","17031804105",4219
"928","17031804106",7232
"929","17031804108",4577
"930","17031804109",3138
"931","17031804202",7853
"932","17031804203",3215
"933","17031804204",5281
"934","17031804305",7790
"935","17031804306",6379
"936","17031804308",4752
"937","17031804309",3311
"938","17031804312",1888
"939","17031804313",6913
"940","17031804314",1409
"941","17031804315",2547
"942","17031804316",4514
"943","17031804403",6895
"944","17031804404",5567
"945","17031804405",3348
"946","17031804406",5798
"947","17031804505",3644
"948","17031804506",5248
"949","17031804508",2345
"950","17031804509",6440
"951","17031804510",5389
"952","17031804511",2234
"953","17031804512",3555
"954","17031804513",3753
"955","17031804514",5381
"956","17031804603",6368
"957","17031804606",6349
"958","17031804607",7334
"959","17031804608",3634
"960","17031804609",5993
"961","17031804610",2684
"962","17031804611",4233
"963","17031804701",5947
"964","17031804705",4594
"965","17031804706",2255
"966","17031804709",8425
"967","17031804710",3836
"968","17031804711",8272
"969","17031804712",5431
"970","17031804713",5097
"971","17031804714",3269
"972","17031804715",3777
"973","17031804716",4599
"974","17031804803",5381
"975","17031804804",5744
"976","17031804805",6820
"977","17031804806",3765
"978","17031804807",5547
"979","17031804808",2768
"980","17031804809",4704
"981","17031804810",6552
"982","17031804901",6319
"983","17031804902",6173
"984","17031805001",4966
"985","17031805002",7434
"986","17031805105",7301
"987","17031805106",2925
"988","17031805107",6304
"989","17031805108",6375
"990","17031805109",4553
"991","17031805110",4441
"992","17031805111",8036
"993","17031805112",3312
"994","17031805201",3953
"995","17031805202",3891
"996","17031805301",3179
"997","17031805302",3896
"998","17031805401",4618
"999","17031805402",4907
"1000","17031805501",3518
"1001","17031805502",4335
"1002","17031805600",4794
"1003","17031805701",5361
"1004","17031805702",2036
"1005","17031805801",2360
"1006","17031805802",5440
"1007","17031805901",4404
"1008","17031805902",6402
"1009","17031806001",5742
"1010","17031806002",7235
"1011","17031806004",8661
"1012","17031806005",2713
"1013","17031806006",4417
"1014","17031806102",4325
"1015","17031806103",5296
"1016","17031806104",4132
"1017","17031806201",5130
"1018","17031806202",4939
"1019","17031806300",4430
"1020","17031806400",2396
"1021","17031806501",2382
"1022","17031806502",3973
"1023","17031806600",3486
"1024","17031806700",4266
"1025","17031806801",4334
"1026","17031806802",3293
"1027","17031806900",5524
"1028","17031807000",5283
"1029","17031807100",3850
"1030","17031807200",6056
"1031","17031807300",8095
"1032","17031807400",6960
"1033","17031807500",3325
"1034","17031807600",6319
"1035","17031807700",6151
"1036","17031807800",2718
"1037","17031807900",4345
"1038","17031808001",3584
"1039","17031808002",5339
"1040","17031808100",3837
"1041","17031808200",5806
"1042","17031808301",6276
"1043","17031808302",4707
"1044","17031808400",4297
"1045","17031808500",4334
"1046","17031808600",2288
"1047","17031808702",5244
"1048","17031808800",3921
"1049","17031808900",4160
"1050","17031809000",4044
"1051","17031809100",3287
"1052","17031809200",4857
"1053","17031809300",4799
"1054","17031809401",2879
"1055","17031809402",2713
"1056","17031809500",4183
"1057","17031809600",3226
"1058","17031809700",3726
"1059","17031809800",2776
"1060","17031809900",2760
"1061","17031810000",5359
"1062","17031810100",4615
"1063","17031810200",6699
"1064","17031810301",4604
"1065","17031810302",3329
"1066","17031810400",5726
"1067","17031810501",5259
"1068","17031810502",5846
"1069","17031810600",4783
"1070","17031810701",4579
"1071","17031810702",4048
"1072","17031810800",5309
"1073","17031810900",6324
"1074","17031811000",4021
"1075","17031811100",6876
"1076","17031811200",5198
"1077","17031811301",4302
"1078","17031811302",3988
"1079","17031811401",4849
"1080","17031811402",4218
"1081","17031811500",6210
"1082","17031811600",5827
"1083","17031811701",3491
"1084","17031811702",5516
"1085","17031811800",5542
"1086","17031811900",6126
"1087","17031812000",5442
"1088","17031812100",4836
"1089","17031812200",3758
"1090","17031812301",5184
"1091","17031812302",2818
"1092","17031812400",3295
"1093","17031812500",3427
"1094","17031812600",3588
"1095","17031812700",2981
"1096","17031812801",3398
"1097","17031812802",2826
"1098","17031812900",4588
"1099","17031813000",3828
"1100","17031813100",4729
"1101","17031813200",4578
"1102","17031813301",3292
"1103","17031813302",2893
"1104","17031813400",8214
"1105","17031813500",6298
"1106","17031813600",5712
"1107","17031813701",2896
"1108","17031813702",4719
"1109","17031813801",3282
"1110","17031813802",4386
"1111","17031813900",6821
"1112","17031814000",4507
"1113","17031814100",4793
"1114","17031814200",8122
"1115","17031814300",4740
"1116","17031814400",7652
